1 Bitcoin	$318,478,163,312	$19,012.70	$14,604,800,000	16,750,812 BTC	1.11%	
73	ZCoin	$262,112,655	$71.11	$18,612,300	3,685,866 XZC	15.69%
74	FunFair	$261,262,681	$0.061475	$25,199,600	4,249,873,622 FUN *	37.04%
75	Raiden Networ...	$248,120,888	$4.95	$17,345,800	50,148,936 RDN *	16.09%
76	Dragonchain	$247,944,512	$1.04	$4,811,350	238,421,940 DRGN *	36.41%
77	Iconomi	$241,209,311	$2.42	$5,451,200	99,788,314 ICN *	9.04%
78	Gnosis	$234,591,720	$212.38	$7,079,800	1,104,590 GNO *	16.29%
79	Nexus	$233,590,621	$4.29	$2,199,820	54,471,106 NXS	13.68%
80	Request Network	$227,629,838	$0.355261	$35,830,300	640,739,733 REQ *	28.21%
81	GameCredits	$224,928,391	$3.50	$13,838,600	64,355,352 GAME	30.21%
82	Monaco	$210,001,995	$18.35	$48,593,700	11,443,876 MCO *	17.76%
83	Metal	$208,076,296	$10.78	$16,861,700	19,300,994 MTL *	19.38%
84	PayPie	$206,896,800	$2.51	$1,049,090	82,500,000 PPP *	18.37%
85	Civic	$203,964,759	$0.595170	$18,685,500	342,700,000 CVC *	33.17%
86	Streamr DATAcoin	$202,526,081	$0.299084	$12,284,800	677,154,514 DATA *	10.95%
87	NAV Coin	$200,039,509	$3.22	$16,604,200	62,186,644 NAV *	24.40%
88	Bancor	$194,785,866	$4.78	$13,883,500	40,772,871 BNT *	20.98%
89	ChainLink	$174,536,950	$0.498677	$21,269,600	350,000,000 LINK *	25.37%
90	Metaverse ETP	$168,599,048	$4.60	$21,149,600	36,689,055 ETP	18.90%
91	Ethos	$164,119,729	$2.18	$13,646,300	75,201,833 ETHOS *	42.42%
92	Peercoin	$162,671,817	$6.63	$7,062,280	24,522,145 PPC	15.21%
93	Blocknet	$161,840,843	$32.81	$912,322	4,933,119 BLOCK *	21.38%
94	Edgeless	$161,428,533	$1.97	$16,817,300	82,046,288 EDG *	18.98%
95	Storj	$155,672,819	$1.48	$16,828,300	105,413,683 STORJ *	17.24%
96	Groestlcoin	$154,599,700	$2.24	$17,940,000	69,034,674 GRS	58.76%
97	SONM	$150,098,838	$0.417405	$11,970,100	359,600,000 SNM *	52.77%
98	Ink	$149,637,132	$0.839479	$323,414,000	178,250,000 INK *	41.31%
99	Aion	$148,364,307	$2.80	$2,147,030	52,970,983 AION *	33.53%
100	Ripio Credit ...	$144,452,003	$0.295815	$47,013,700	488,318,724 RCN *	32.97%
